Landmark,X,Y
0,163.1740951538086,278.64538192749023
1,164.34049606323242,271.64045333862305
2,163.52148056030273,273.6492347717285
3,162.26640701293945,262.37926483154297
4,164.60702896118164,268.932523727417
5,164.64075088500977,265.23502349853516
6,164.38411712646484,256.30714416503906
7,145.17671585083008,253.1586456298828
8,164.71147537231445,249.31474685668945
9,165.06763458251953,245.72653770446777
10,165.74440002441406,233.10399055480957
11,163.02799224853516,279.8480415344238
12,162.78642654418945,280.79057693481445
13,162.55468368530273,281.17249488830566
14,162.46570587158203,283.20556640625
15,162.42551803588867,284.518404006958
16,162.29949951171875,286.07791900634766
17,162.0862579345703,287.61194229125977
18,161.52769088745117,289.61514472961426
19,164.0656852722168,272.8594207763672
20,161.44325256347656,272.2766590118408
21,135.38485527038574,241.81955337524414
22,152.43839263916016,256.0498237609863
23,149.90856170654297,256.02745056152344
24,147.4289608001709,255.72649955749512
25,143.9951992034912,253.95898818969727
26,154.58707809448242,255.64358711242676
27,149.61225509643555,249.34630393981934
28,152.2932243347168,249.80260848999023
29,147.00525283813477,249.45948600769043
30,145.15583038330078,250.14813423156738
31,141.6661262512207,255.5167293548584
32,151.37982368469238,292.02149391174316
33,144.19422149658203,252.43695259094238
34,133.1490707397461,253.01239013671875
35,138.71715545654297,253.31088066101074
36,150.06918907165527,267.06127166748047
37,159.99935150146484,278.06118965148926
38,160.02931594848633,280.6022644042969
39,156.48303031921387,278.6305618286133
40,154.24025535583496,279.44695472717285
41,157.5959587097168,280.620059967041
42,155.7216739654541,280.73158264160156
43,150.33618927001953,283.2796382904053
44,162.20796585083008,271.3927459716797
45,162.10994720458984,268.7061882019043
46,141.33316040039062,246.67888641357422
47,155.6379222869873,261.0061740875244
48,155.6047534942627,269.59659576416016
49,155.35432815551758,268.0433177947998
50,141.98904991149902,265.93674659729004
51,162.2581672668457,265.297794342041
52,147.98528671264648,244.49792861938477
53,144.19405937194824,245.03494262695312
54,138.70302200317383,237.56644248962402
55,159.16918754577637,247.98949241638184
56,154.5445728302002,250.87008476257324
57,148.65802764892578,280.5069923400879
58,133.31734657287598,276.9474792480469
59,157.3531723022461,271.21158599853516
60,159.51828956604004,272.1519470214844
61,151.55644416809082,280.92761993408203
62,152.84814834594727,280.8811569213867
63,142.772855758667,243.03214073181152
64,155.3161334991455,270.5569839477539
65,152.88263320922852,245.2730369567871
66,152.66339302062988,243.0476188659668
67,150.496187210083,232.81514167785645
68,140.80853462219238,240.29823303222656
69,151.9407081604004,237.91507244110107
70,139.64591026306152,245.26671409606934
71,137.53173828125,243.69884490966797
72,159.98455047607422,279.525146484375
73,157.1200180053711,279.8394012451172
74,154.9984359741211,280.138521194458
75,157.97422409057617,271.65287017822266
76,152.22649574279785,280.96126556396484
77,153.23979377746582,281.9165325164795
78,153.11171531677246,280.70079803466797
79,159.01198387145996,270.84228515625
80,156.14233016967773,280.5537700653076
81,157.9550266265869,280.72834968566895
82,160.1300811767578,280.94810485839844
83,158.0508518218994,289.1891670227051
84,158.7891674041748,287.10205078125
85,159.20507431030273,285.542049407959
86,159.56011772155762,283.99463653564453
87,159.85284805297852,282.93660163879395
88,155.66171646118164,281.93017959594727
89,155.20973205566406,282.30085372924805
90,154.5154571533203,283.0273246765137
91,153.868408203125,283.86706352233887
92,152.03057289123535,276.44994735717773
93,131.39020919799805,263.7813377380371
94,163.81444931030273,273.1505870819092
95,154.44351196289062,281.4894962310791
96,153.9182472229004,281.6290283203125
97,160.34116744995117,273.32799911499023
98,155.98407745361328,272.0536994934082
99,159.95436668395996,272.7861499786377
100,152.76422500610352,262.1857166290283
101,148.3935260772705,263.51268768310547
102,154.7411823272705,269.0317440032959
103,143.51974487304688,234.46598052978516
104,145.38175582885742,238.18528175354004
105,147.18934059143066,242.23600387573242
106,152.153959274292,285.4540729522705
107,158.79180908203125,244.4087791442871
108,158.39738845825195,238.5982847213745
109,157.6733684539795,232.49759674072266
110,145.23868560791016,255.02480506896973
111,138.60334396362305,257.1211910247803
112,155.99810600280762,255.13346672058105
113,142.1176528930664,250.4601287841797
114,157.68638610839844,259.5677661895752
115,157.4304962158203,269.000244140625
116,135.44976234436035,258.5010051727295
117,140.4147434234619,259.23208236694336
118,143.8879108428955,260.58680534362793
119,148.9636993408203,260.6078052520752
120,152.6852512359619,259.8573875427246
121,155.4714584350586,258.9297580718994
122,161.7997169494629,256.6889190673828
123,135.47669410705566,264.04712677001953
124,139.87120628356934,249.72207069396973
125,162.77681350708008,272.6531410217285
126,155.88770866394043,263.7335014343262
127,131.8397331237793,252.29275703430176
128,157.647066116333,257.7719306945801
129,154.2587661743164,268.9984703063965
130,143.267183303833,252.4229907989502
131,157.22773551940918,267.1081066131592
132,131.78114891052246,270.1381587982178
133,155.95452308654785,254.1529941558838
134,159.7181797027588,265.9251594543457
135,139.7913360595703,284.60034370422363
136,139.14668083190918,287.11647033691406
137,132.19100952148438,263.99725914001465
138,136.42372131347656,280.61044692993164
139,135.28634071350098,247.9826831817627
140,150.5319881439209,294.46703910827637
141,162.83002853393555,272.9893684387207
